NDVI,LST,TA,CLASS
0.241233333,280.1709018,5,No_fire
0.242536458,281.6786671,5,No_fire
0.243839583,285.8659825,5,No_fire
0.245142708,283.2499945,5,No_fire
0.246445833,275.5460517,4,No_fire
0.247748958,282.0540906,4,No_fire
0.249052083,286.0906477,5,No_fire
0.250355208,283.7033919,5,No_fire
0.251658333,289.1638293,5,No_fire
0.252961458,285.854975,5,No_fire
0.254264583,281.6266557,5,No_fire
0.255567708,282.6946335,5,No_fire
0.256870833,281.0716009,5,No_fire
0.258173958,277.5949683,5,No_fire
0.259477083,275.0978104,4,No_fire
0.260780208,284.3545639,5,No_fire
0.262083333,279.6652197,5,No_fire
0.26283375,285.2420512,5,No_fire
0.263584167,288.9486285,5,No_fire
0.264334583,283.8126997,5,No_fire
0.265085,283.7897608,5,No_fire
0.265835417,279.5399254,5,No_fire
0.266585833,286.473702,5,No_fire
0.26733625,286.6162882,5,No_fire
0.268086667,286.3591018,5,No_fire
0.268837083,289.6557335,5,No_fire
0.2695875,286.4659889,5,No_fire
0.270337917,289.1410515,5,No_fire
0.271088333,284.3159157,5,No_fire
0.27183875,286.8009401,5,No_fire
0.272589167,285.8262774,5,No_fire
0.273339583,292.1752315,5,No_fire
0.27409,285.0091319,4,No_fire
0.274705,287.4262873,5,No_fire
0.27532,284.9371695,4,No_fire
0.275935,281.2431402,4,No_fire
0.27655,283.172099,5,No_fire
0.277165,282.2657726,5,No_fire
0.27778,286.0564105,5,No_fire
0.278395,284.5057784,5,No_fire
0.27901,284.2643269,5,No_fire
0.279625,283.9924014,5,No_fire
0.28024,284.0789943,5,No_fire
0.280855,269.9975873,4,No_fire
0.28147,280.5421087,4,No_fire
0.282085,281.3916841,5,No_fire
0.2827,282.3466205,5,No_fire
0.283315,283.4404761,5,No_fire
0.28393,281.1587737,5,No_fire
0.293131097,280.8293523,5,No_fire
0.302332194,282.2098008,5,No_fire
0.311533291,278.8017592,4,No_fire
0.320734388,282.0313537,5,No_fire
0.329935485,285.2610779,5,No_fire
0.339136582,289.8653145,5,No_fire
0.348337679,291.6751254,5,No_fire
0.357538776,289.0418055,5,No_fire
0.366739873,291.780629,5,No_fire
0.37594097,289.5509513,5,No_fire
0.385142067,291.5722711,5,No_fire
0.394343164,289.775584,5,No_fire
0.403544261,293.6897126,5,No_fire
0.412745358,288.8281003,5,No_fire
0.421946455,300.2863925,4,No_fire
0.431147552,287.4513075,5,No_fire
0.430027841,290.2216018,5,No_fire
0.428908129,287.783004,5,No_fire
0.427788418,286.6815221,5,No_fire
0.426668706,284.5591661,5,No_fire
0.425548995,285.6654199,5,No_fire
0.424429283,291.1716179,5,No_fire
0.423309572,287.3501207,8,No_fire
0.42218986,291.2812259,8,No_fire
0.421070149,290.664799,5,No_fire
0.419950437,293.4994767,5,No_fire
0.418830726,296.4376371,5,No_fire
0.417711014,296.6704078,5,No_fire
0.416591302,298.4951524,5,No_fire
0.415471591,289.6420075,5,No_fire
0.414351879,291.6246462,5,No_fire
0.413232168,296.2513174,5,No_fire
0.40904408,298.6961801,5,No_fire
0.404855993,293.2032745,5,No_fire
0.400667905,300.8578183,5,No_fire
0.396479818,293.2048168,5,No_fire
0.39229173,290.335197,5,No_fire
0.388103643,297.259288,5,No_fire
0.383915555,293.9149514,5,No_fire
0.379727468,295.2452655,5,No_fire
0.37553938,297.229934,5,No_fire
0.371351293,302.3359528,5,No_fire
0.367163205,302.9776273,5,No_fire
0.362975118,298.7296164,5,No_fire
0.35878703,303.570704,5,No_fire
0.354598943,300.759029,5,No_fire
0.350410855,302.2929427,5,No_fire
0.346222768,299.8386127,5,No_fire
0.343056456,307.3504255,5,No_fire
0.339890144,296.329224,5,No_fire
0.336723832,293.2921642,9,No_fire
0.33355752,300.0882399,5,No_fire
0.330391208,294.3623794,5,No_fire
0.327224896,301.6205783,8,No_fire
0.324058584,301.1385047,5,No_fire
0.320892272,301.2096151,5,No_fire
0.31772596,293.326065,5,No_fire
0.314559648,298.0441858,9,No_fire
0.311393336,303.9578575,8,No_fire
0.308227024,301.45478,5,No_fire
0.305060712,307.2676232,5,No_fire
0.3018944,297.1225577,5,No_fire
0.298728088,301.9777239,5,No_fire
0.295561776,304.4386375,9,No_fire
0.297444928,306.8230854,9,No_fire
0.29932808,308.8925751,5,No_fire
0.301211231,305.5722325,5,No_fire
0.303094383,306.0589164,5,No_fire
0.304977535,300.315658,5,No_fire
0.306860687,300.8944666,5,No_fire
0.308743838,299.7864029,5,No_fire
0.31062699,301.1587683,5,No_fire
0.312510142,302.4521702,5,No_fire
0.314393294,301.2685217,5,No_fire
0.316276445,307.5515091,5,No_fire
0.318159597,300.2536822,5,No_fire
0.320042749,304.0864922,5,No_fire
0.321925901,301.3370949,5,No_fire
0.323809053,305.1547912,5,No_fire
0.325692204,303.7447725,5,No_fire
0.321192012,299.6703182,8,No_fire
0.316691819,305.0336776,5,No_fire
0.312191626,304.3664417,5,No_fire
0.307691434,308.7324482,5,No_fire
0.303191241,304.1359782,5,No_fire
0.298691048,310.6466749,5,No_fire
0.294190856,301.1193875,5,No_fire
0.289690663,304.3084563,5,No_fire
0.28519047,303.1535422,5,No_fire
0.280690278,299.9023905,5,No_fire
0.276190085,298.9756073,5,No_fire
0.271689892,301.349852,5,No_fire
0.2671897,295.5299384,5,No_fire
0.262689507,296.3043785,5,No_fire
0.258189315,303.748891,5,No_fire
0.253689122,302.2499676,5,No_fire
0.256446446,303.1803942,5,No_fire
0.25920377,301.1999138,5,No_fire
0.261961094,301.6135756,5,No_fire
0.264718419,306.3634889,9,No_fire
0.267475743,302.2233816,5,No_fire
0.270233067,307.8978874,9,No_fire
0.272990391,305.9490182,9,No_fire
0.275747716,307.366907,5,No_fire
0.27850504,307.5891797,5,No_fire
0.281262364,308.3356753,5,No_fire
0.284019688,312.5671386,5,No_fire
0.286777012,303.2659113,5,No_fire
0.289534337,307.7719994,5,No_fire
0.292291661,304.102092,5,No_fire
0.295048985,309.5612729,5,No_fire
0.297806309,308.5519946,9,No_fire
0.296779818,310.8072963,9,No_fire
0.295753326,313.7489985,9,No_fire
0.294726835,306.9559735,8,No_fire
0.293700343,312.6845859,8,No_fire
0.292673852,304.848888,8,No_fire
0.29164736,310.050541,5,Fire
0.290620869,306.8823281,5,Fire
0.289594377,312.8640033,5,Fire
0.288567886,312.9667063,5,Fire
0.287541394,308.3901451,5,Fire
0.286514903,309.7483697,5,Fire
0.285488411,306.2557736,8,No_fire
0.28446192,314.1500464,5,No_fire
0.283435428,307.3158306,5,No_fire
0.282408937,308.0100423,5,No_fire
0.281382445,307.5355451,9,No_fire
0.281610892,308.9937018,5,No_fire
0.28183934,311.3587877,5,No_fire
0.282067787,304.0158729,5,Fire
0.282296234,312.7032563,5,Fire
0.282524682,305.6984437,5,Fire
0.282753129,311.6226566,9,Fire
0.282981576,305.2719569,8,Fire
0.283210024,310.5860433,5,Fire
0.283438471,311.8448873,5,Fire
0.283666918,310.384833,5,Fire
0.283895366,309.4964753,5,No_fire
0.284123813,303.8517965,5,Fire
0.28435226,313.4174617,5,Fire
0.284580708,307.484486,5,Fire
0.284809155,313.6069377,5,Fire
0.285037602,315.9026667,8,Fire
0.280447122,312.7713768,5,Fire
0.275856642,315.3422992,5,Fire
0.271266161,312.5211296,5,Fire
0.266675681,314.7744619,5,Fire
0.262085201,306.675301,5,Fire
0.257494721,313.4248461,5,Fire
0.25290424,309.5162795,5,Fire
0.24831376,311.2505631,5,Fire
0.24372328,311.3596571,5,No_fire
0.2391328,308.2412422,5,No_fire
0.234542319,311.1489739,5,No_fire
0.229951839,309.0554305,5,No_fire
0.225361359,311.6931468,5,No_fire
0.220770879,310.7942821,5,No_fire
0.216180399,314.8300437,5,No_fire
0.211589918,312.8862341,5,No_fire
0.216863625,312.3447481,8,No_fire
0.222137332,312.1369374,9,Fire
0.227411039,307.9073453,5,Fire
0.232684746,314.6379819,5,No_fire
0.237958453,307.0911017,5,Fire
0.24323216,315.0840091,5,Fire
0.248505867,309.3065312,5,Fire
0.253779575,316.2273531,5,Fire
0.259053282,311.0210869,5,Fire
0.264326989,308.2704306,5,No_fire
0.269600696,312.7197383,5,Fire
0.274874403,306.6680951,5,Fire
0.28014811,314.062586,5,Fire
0.285421817,307.764533,5,Fire
0.290695524,312.2714151,5,Fire
0.295969231,312.7090057,5,Fire
0.292453726,313.9047153,5,Fire
0.288938221,317.2190969,5,Fire
